area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"San German, PR",PR,0.07736518300358342,14490,,,-310,1750
"Cumberland, MD-WV",MD,0.07735644199362204,25960,0.4499,,1850,120
"Cheyenne, WY",WY,0.07731299894704027,37360,0.439,2.3186600043538323,2210,3630
"Carson City, NV",NV,0.07727800328073135,21780,0.4583,2.28296024440969,2150,3380
"Portland-South Portland, ME",ME,0.07725945009446049,175250,0.449,2.255039209371876,8880,8420
"Grand Forks, ND-MN",ND,0.07720340952345378,38470,0.4478,2.1681474781801606,1580,-510
"Chico, CA",CA,0.07711977617487153,58470,0.4831,2.2746059618436663,4410,10190
"Eugene, OR",OR,0.07699874733862548,128340,,,6840,17230
"Jefferson City, MO",MO,0.07692721309088808,59410,0.4187,2.298933343774053,590,2880
"Hattiesburg, MS",MS,0.07680485652049582,50780,0.4904,2.2208109886052414,2810,5410
"Auburn-Opelika, AL",AL,0.07665974569613075,50390,0.513,2.2467259277534914,3880,12970
"Parkersburg-Vienna, WV",WV,0.07654024895672586,26960,0.4545,2.240932591044359,-6840,-32510
"Lawton, OK",OK,0.07651643613466148,31650,0.4527,2.2744887335141417,-10,120
"Clarksville, TN-KY",TN,0.07645083138131707,76030,0.4228,2.274689378164107,4320,11150
"Mankato-North Mankato, MN",MN,0.07639550677996104,40760,,,2940,4920
"Logan, UT-ID",UT,0.07636417717526155,51990,0.4253,2.2191054636668097,8130,17710
"North Port-Sarasota-Bradenton, FL",FL,0.0763193896005739,276920,0.4893,,27570,70340
"Atlantic City-Hammonton, NJ",NJ,0.0761903001471046,105220,0.4777,2.175712046924666,720,-11910
"Blacksburg-Christiansburg-Radford, VA",VA,0.07616676592450014,53240,,2.095795790390233,4250,7720
"Ponce, PR",PR,0.07605988777900807,52530,0.5453,2.2510980250473973,-120,10230
"Casper, WY",WY,0.07604830294050424,29530,0.4426,2.377899045428759,2440,-3320
"Mount Vernon-Anacortes, WA",WA,0.07592615804209005,39620,0.4355,2.3511045552500147,2900,7040
"Sierra Vista-Douglas, AZ",AZ,0.07587412463905283,26010,0.4384,2.24831683054948,,
"Wilmington, NC",NC,0.07586943547972776,118070,0.4764,2.303327007658883,8150,2920
"Santa Rosa, CA",CA,0.07585548975633012,169890,,,6890,30480
"Waco, TX",TX,0.07584582922445406,101220,0.4784,2.3030107729141016,10790,23160
"Panama City, FL",FL,0.07584415617835533,69890,0.4413,,9770,11770
"Las Vegas-Henderson-Paradise, NV",NV,0.07569747926818367,923790,0.4706,,96060,205900
"Boise City, ID",ID,0.07565683397998872,306850,0.4399,2.33068338835798,31530,96820
"Farmington, NM",NM,0.0755515268056388,34820,0.4697,2.2871570843813105,40,-6140
"Twin Falls, ID",ID,0.07550603344435484,36460,0.4466,2.378741704728065,,
"Elizabethtown-Fort Knox, KY",KY,0.0754149618385221,40660,0.4567,,2280,6180
"The Villages, FL",FL,0.07539998477001478,28500,0.4227,,,
"Longview, WA",WA,0.07537957034078943,31480,0.4383,,3960,6960
"Monroe, LA",LA,0.07534906482506387,56900,0.5186,2.3499617804787647,1160,790
"Danbury, CT",CT,0.07520977361134538,61010,,,4010,8240
"Sebring, FL",FL,0.07517962791697055,20110,,2.338612713583232,,
"Salem, OR",OR,0.07500898759668129,146510,0.4371,2.3518012409816285,14020,32880
"Port St. Lucie, FL",FL,0.07496221805951585,137280,0.4745,2.2896904212089537,14450,35380
"Glens Falls, NY",NY,0.07488221413511043,38710,0.431,2.32543734575727,300,-3770
"College Station-Bryan, TX",TX,0.07487649675389184,99490,0.5081,2.225065188871491,16000,30600
"Deltona-Daytona Beach-Ormond Beach, FL",FL,0.07484556417510622,184880,0.4522,2.298956410852425,19750,54620
"Bridgeport-Stamford-Norwalk, CT",CT,0.07479603469575828,336620,0.5441,,5520,-21310
"Kokomo, IN",IN,0.07467288684046636,22260,0.4232,2.19721911717774,-2120,-4770
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",CA,0.0745116663221805,98260,,,8240,17990
"Punta Gorda, FL",FL,0.07449009387467083,41970,0.4506,2.3470947904785993,6110,11780
"Homosassa Springs, FL",FL,0.07418680706710973,26160,0.4782,2.309087693568174,,
"New Bedford, MA",MA,0.07414295980787769,48680,,,2540,850
"McAllen-Edinburg-Mission, TX",TX,0.0741218603101091,208910,0.478,2.3210695011441427,17140,47480
"Wenatchee, WA",WA,0.07405836990015595,38950,0.4521,,2830,9750
"Great Falls, MT",MT,0.0739937950981296,27720,0.451,2.161215296180591,950,790
"Lake Havasu City-Kingman, AZ",AZ,0.07391428140994251,46110,0.4622,2.263012480689646,2060,10650
"Abilene, TX",TX,0.0739065057232596,57950,0.4398,2.263135788560844,4790,8710
"Leominster-Gardner, MA",MA,0.07380435141465227,39400,,,2310,3960
"Enid, OK",OK,0.07368511770629635,16360,0.4464,2.3294670155516237,,
"Cape Coral-Fort Myers, FL",FL,0.07358297639424702,255670,0.4799,2.286225842831454,28450,82440
"Santa Cruz-Watsonville, CA",CA,0.07293798637908339,76950,0.4818,2.2953318259082427,6060,13490
"Ithaca, NY",NY,0.07287063661637282,30770,0.4945,1.8421285394221514,5820,-1860
"Brownsville-Harlingen, TX",TX,0.07283755375103913,113510,0.4678,2.235520099267034,9530,23730
"Pittsfield, MA",MA,0.07283381593537631,28250,0.491,2.1963813669288808,1960,4650
"Bend-Redmond, OR",OR,0.07256299347211559,72040,,,11170,27030
"San Angelo, TX",TX,0.07250624291077967,38640,0.4466,2.3208232738625294,4570,3780
"Sebastian-Vero Beach, FL",FL,0.07246399252917327,45520,0.5066,,3970,9630
"Bellingham, WA",WA,0.07221923397763817,73580,0.4463,2.332218984524134,5140,13010
"Daphne-Fairhope-Foley, AL",AL,0.07204894287970454,68450,0.4648,2.3425117406512608,,
"Coeur d'Alene, ID",ID,0.0715413930050603,54620,0.4291,2.3208259587538436,5040,16710
"Hinesville, GA",GA,0.07151362222635874,11410,0.4092,2.275597772425849,750,2930
"Rapid City, SD",SD,0.07149971754671228,61100,0.4528,2.267627048246126,4490,10150
"Salisbury, MD-DE",MD,0.07146947657707203,143440,0.4627,,26850,112430
"Provo-Orem, UT",UT,0.07139015397793752,247380,0.4208,,44360,106290
"Missoula, MT",MT,0.07116247991559,50780,0.4734,2.27154547850903,3970,6170
"Bloomington, IL",IL,0.07089021229954771,63790,0.4802,2.197013824929316,,
"St. George, UT",UT,0.0708443217125369,68180,0.4464,2.2761289369627713,10050,32450
"Manhattan, KS",KS,0.07077271710090863,29930,0.448,2.199473566649084,-2100,-11810
"Prescott, AZ",AZ,0.07062822041903502,55380,,,4360,14160
"Walla Walla, WA",WA,0.07053379521443656,16770,0.4582,2.213810018115599,,
"Hot Springs, AR",AR,0.07050054649248083,30190,0.4606,2.2658559237137936,2010,2290
"Brunswick, GA",GA,0.07018648831018998,33600,0.4943,,2550,4960
"Guayama, PR",PR,0.06946249073217219,6710,0.5298,2.25912649024415,-1660,-1040
"Lawrence, KS",KS,0.06941577677356611,38010,0.4593,2.171181868638085,2490,3320
"Naples-Immokalee-Marco Island, FL",FL,0.06932263395825726,138070,,,15410,42290
"Watertown-Fort Drum, NY",NY,0.06923372687690535,29410,0.4316,2.258974195719004,,
"Grants Pass, OR",OR,0.0692114082091735,19200,0.4716,2.326864742653278,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",SC,0.06913176364552524,151590,0.4477,,17340,61520
"Kingston, NY",NY,0.06904744699939959,43550,0.4787,2.271475228513854,1100,-1150
"Santa Fe, NM",NM,0.06894019480489182,50610,0.4861,2.2495065148206095,1430,1590
"Hilton Head Island-Bluffton-Beaufort, SC",SC,0.06874401726068674,68400,,,,
"Barnstable Town, MA",MA,0.06818453794215683,86340,0.4658,2.2543908847022993,5070,4610
"Pocatello, ID",ID,0.06757458033781286,26030,0.4279,2.1848965916080823,2160,3750
"Jacksonville, NC",NC,0.06555981706710072,41210,0.4196,2.3043089975915674,3480,5920
"Flagstaff, AZ",AZ,0.0642582874183802,47270,0.4603,2.177905651911493,3890,6050
"Kahului-Wailuku-Lahaina, HI",HI,0.06406516066539567,61950,0.4439,,,
"Ocean City, NJ",NJ,0.06292284368213598,32690,0.4747,,600,2390
