area_title,state_code,aii,total_employment,gini,entropy,delta_creative_class,delta_total_emp
"Atlanta-Sandy Springs-Roswell, GA",GA,0.08637434884640044,2402860,,2.328258666459242,259040,465930
"Hammond, LA",LA,0.08635212494175644,34780,0.475,2.2754122635838887,,
"Wausau, WI",WI,0.0862892233723643,56810,,2.262321174997826,3160,4900
"Greenville-Anderson-Mauldin, SC",SC,0.08627307227927329,362750,,,39970,111600
"San Juan-Carolina-Caguas, PR",PR,0.08625689763912414,606750,,,-11230,-68310
"Racine, WI",WI,0.08621783762590478,59250,0.4345,,1350,-170
"San Francisco-Oakland-Hayward, CA",CA,0.08621195065669592,1986050,,,296210,421010
"Cincinnati, OH-KY-IN",OH,0.08612869324930784,948860,0.4669,2.2656674731263817,53970,80050
"Springfield, IL",IL,0.0861133580507753,87460,0.4562,2.2554761494406512,7440,-6180
"Kalamazoo-Portage, MI",MI,0.08604322240578141,117980,0.4609,2.193627862068201,6520,9120
"Hickory-Lenoir-Morganton, NC",NC,0.08599449965695707,130350,0.4555,2.2110520631158526,5160,10080
"Decatur, AL",AL,0.08593702009352497,45740,0.4499,2.2568273250085524,2950,3850
"La Crosse-Onalaska, WI-MN",WI,0.08582083033664807,59070,0.4507,2.2475403270576235,1300,930
"Reading, PA",PA,0.08575424961936294,137520,0.4452,2.2470935364028537,4200,2420
"Macon, GA",GA,0.08575006263058008,77790,,,2700,1740
"Fond du Lac, WI",WI,0.08574424868020786,33310,0.4052,2.2211030120903192,1380,2000
"Anchorage, AK",AK,0.08562675083216346,142000,0.4274,2.295586861383494,2010,-5530
"Visalia-Porterville, CA",CA,0.08562291060981386,136280,,,10540,30450
"Tulsa, OK",OK,0.08557876015326168,384080,0.4689,2.3342621211227645,11680,12560
"Carbondale-Marion, IL",IL,0.08549901837580144,38590,0.4775,,,
"Sheboygan, WI",WI,0.0854733175626045,46780,0.4071,2.1263263524028893,1500,3170
"Midland, MI",MI,0.08534880849556296,25860,0.4615,2.244445913058583,,
"Kansas City, MO-KS",MO,0.08532280519275481,927810,0.4518,2.3221126295437537,51510,82370
"Louisville/Jefferson County, KY-IN",KY,0.08531401251497055,556340,0.4624,2.2829404525190915,28580,46620
"Los Angeles-Long Beach-Anaheim, CA",CA,0.08528370897730687,5125830,0.4928,2.3296168853028774,,
"Oshkosh-Neenah, WI",WI,0.08518975380672476,73260,0.4217,2.1655267523808006,3410,2100
"Winston-Salem, NC",NC,0.08518040879106063,233680,0.466,2.2501989434128906,24290,64950
"Morristown, TN",TN,0.08512984260289277,34790,0.4594,2.287945597226675,-140,800
"Janesville-Beloit, WI",WI,0.08492366555878557,53970,0.402,2.272621066322103,2680,5320
"Mayaguez, PR",PR,0.0848323684755167,23190,,,710,-190
"Saginaw, MI",MI,0.08466947985213424,64710,0.4747,2.2424628587885573,-800,-3750
"State College, PA",PA,0.08465405603718906,48370,0.4775,2.0078548068084494,4400,-1660
"Green Bay, WI",WI,0.08463604157741136,146350,0.4277,2.2615443098006334,5020,1320
"Jackson, MS",MS,0.08462917033011609,218660,0.4842,2.3121780734628543,3890,-3140
"Colorado Springs, CO",CO,0.08459209470651051,259700,0.4302,2.2858086843999654,24290,59850
"Gadsden, AL",AL,0.0845702254477952,24480,0.4556,2.2467338779848713,670,-1480
"Houston-The Woodlands-Sugar Land, TX",TX,0.08455309028793624,2721780,0.4827,,231470,413820
"Portland-Vancouver-Hillsboro, OR-WA",OR,0.0845011610219204,1025840,0.4491,2.3053245817556234,103890,177770
"Rome, GA",GA,0.08450041714674587,29530,0.4678,2.189960619044205,1360,3620
"Denver-Aurora-Lakewood, CO",CO,0.08445583415728455,1347320,0.4482,,176190,320240
"Virginia Beach-Norfolk-Newport News, VA-NC",VA,0.08442599277863012,645340,0.4447,,27630,9740
"Dallas-Fort Worth-Arlington, TX",TX,0.08442095619686894,3404820,0.4637,2.3307775004178577,412710,828330
"Erie, PA",PA,0.08437429161730645,95680,0.4573,2.1648482049856104,1190,-10620
"Davenport-Moline-Rock Island, IA-IL",IA,0.08432705671122633,152670,0.4474,2.2482751060268766,7310,-1360
"Hartford-West Hartford-East Hartford, CT",CT,0.08425178091277385,479380,,2.2413956285696433,6640,4470
"Jackson, MI",MI,0.08423333963035448,40400,0.4456,2.2298429024110757,1720,4410
"San Diego-Carlsbad, CA",CA,0.08418364475786437,1281290,,,132630,228910
"Springfield, MO",MO,0.08412868126493998,186040,0.4595,2.275985902925255,11230,26810
"Staunton-Waynesboro, VA",VA,0.08412333031096379,38110,,,,
"Charlotte-Concord-Gastonia, NC-SC",NC,0.0841050337579054,1132000,0.4749,2.32726764728686,167940,413600
"Salinas, CA",CA,0.0841017622726258,156050,0.4596,2.311844119918373,6030,25990
"Pueblo, CO",CO,0.08401768387754768,47810,0.4534,2.251534147519618,3320,7690
"Little Rock-North Little Rock-Conway, AR",AR,0.08390147907958413,302020,0.4823,2.282200434000037,14000,2430
"Modesto, CA",CA,0.08389287612278261,159890,0.4418,2.3358164108151827,12680,36770
"Houma-Thibodaux, LA",LA,0.08383329585336148,65070,0.4786,,2190,-14750
"Chattanooga, TN-GA",TN,0.08379860426732716,217030,0.4738,2.2961657053812026,10480,24050
"Greenville, NC",NC,0.08365791644467925,64210,0.4788,2.139950975860857,5100,4430
"Oklahoma City, OK",OK,0.08361689174776811,571560,0.4646,2.346553166287537,24320,43170
"New Bern, NC",NC,0.08358861629933359,35010,0.4593,,,
"Williamsport, PA",PA,0.08358281295069654,38440,0.4308,2.2217906534752507,1410,-4420
"Altoona, PA",PA,0.0835521513559015,46060,0.4453,2.245549830017622,2110,-720
"Lebanon, PA",PA,0.08353609133829142,39840,0.4236,2.339438449709977,2280,310
"Eau Claire, WI",WI,0.08349935101181741,67630,0.4325,2.2337714705826137,2930,4630
"St. Louis, MO-IL",MO,0.08349071964558388,1153730,0.4661,2.288698769629191,42050,34430
"Dover, DE",DE,0.08347161925904946,52060,0.4068,2.2767963809378458,5180,7230
"South Bend-Mishawaka, IN-MI",IN,0.08340647372687511,109180,0.4709,2.1770995393759778,3760,2070
"Durham-Chapel Hill, NC",NC,0.08337056562863646,249060,0.4831,2.1230763568592725,41840,55440
"Fort Collins, CO",CO,0.08334903356166928,144870,0.4502,,15700,36810
"Manchester, NH",NH,0.08333570821421174,89660,,,6680,5710
"Roanoke, VA",VA,0.08325762775314834,123650,0.4685,2.2684832419297476,5590,-750
"Mansfield, OH",OH,0.08324758711996268,37250,0.4358,2.1870274563894427,740,-1960
"Madison, WI",WI,0.08324084160211996,337380,0.4467,2.2055558102839856,29000,53010
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,0.0832397221727866,2397860,0.4828,2.2489245945459375,155110,131620
"Appleton, WI",WI,0.08318425987046313,102040,0.4368,2.250880563402594,6820,5390
"Albuquerque, NM",NM,0.08311783588957695,329340,0.4668,2.2562296060273437,7850,16200
"New Orleans-Metairie, LA",LA,0.08296282962376064,458590,0.4995,2.278740225339732,22530,1710
"Dover-Durham, NH-ME",NH,0.08292900264661184,40090,,,,
"Rochester, NY",NY,0.08292005669921484,411480,0.4577,2.2005348727199845,7020,-8320
"East Stroudsburg, PA",PA,0.08291565472581337,44560,0.4234,,,
"Spokane-Spokane Valley, WA",WA,0.0829143846391967,211320,0.4518,2.2953516390890036,19920,53510
"Chicago-Naperville-Elgin, IL-IN-WI",IL,0.0828600106814227,3923940,0.4817,,205290,140000
"Jacksonville, FL",FL,0.08285539111199539,653880,0.4663,2.3047087874818026,68200,142240
"Champaign-Urbana, IL",IL,0.08276286896641079,85700,0.4918,2.15701725585451,6300,7740
"Fresno, CA",CA,0.08275868997228096,331430,0.473,2.3157816982018646,27980,82960
"St. Joseph, MO-KS",MO,0.08274410403510636,38840,0.4539,2.232971297456331,1170,1710
"Ogden-Clearfield, UT",UT,0.08274083297604716,242090,0.4019,,32630,80550
