"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","2,146","23,971","20,422","3,414","19,328","11,483","1,901","7,916","14,479","35,178","14,567","8,098","7,783"
"Beckley, WV Metro Area","","","","","","","","","","","","",""
"    Estimate","2,943","3,342","2,819","716","5,817","2,271","571","1,405","2,320","12,183","4,529","1,387","2,756"
"Bellingham, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","4,964","7,713","12,455","2,063","13,119","4,661","2,063","6,150","13,590","27,565","11,993","5,573","5,702"
"Bend, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","2,935","9,568","10,723","2,041","13,928","4,857","2,454","8,217","19,847","29,726","13,021","7,463","6,744"
"Billings, MT Metro Area","","","","","","","","","","","","",""
"    Estimate","4,257","7,849","5,351","2,562","9,915","5,804","1,047","7,067","10,433","22,691","9,834","5,981","4,880"
"Binghamton, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","734","6,145","12,145","2,530","13,158","4,790","1,346","4,923","9,916","34,133","9,656","5,100","4,915"
"Birmingham, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","4,499","41,506","53,636","13,267","62,312","42,081","8,992","41,621","55,971","134,772","45,802","29,047","23,968"
"Bismarck, ND Metro Area","","","","","","","","","","","","",""
"    Estimate","2,981","3,814","3,482","1,825","8,349","6,259","1,351","4,511","5,936","17,235","5,355","2,762","7,440"
"Blacksburg-Christiansburg-Radford, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","669","4,149","11,794","940","8,632","2,552","1,158","2,781","6,916","28,390","9,240","3,770","2,835"
"Bloomington, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,937","3,467","10,124","1,016","7,971","3,390","576","14,631","9,255","22,797","8,626","3,493","1,997"
"Bloomington, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","505","4,727","9,751","1,325","6,226","2,450","1,468","2,522","5,808","30,256","7,016","3,537","4,637"
"Boise City, ID Metro Area","","","","","","","","","","","","",""
"    Estimate","6,729","42,629","43,406","8,964","47,524","18,958","7,078","24,989","49,778","91,245","35,537","19,802","19,651"
"Boston-Cambridge-Newton, MA-NH Metro Area","","","","","","","","","","","","",""
"    Estimate","7,924","162,403","231,735","39,276","240,353","103,416","58,022","221,052","480,903","739,146","213,634","116,186","101,741"
"Boulder, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","1,509","8,156","18,961","1,808","19,259","4,246","5,997","6,219","38,507","42,915","17,849","8,317","4,720"
"Bowling Green, KY Metro Area","","","","","","","","","","","","",""
"    Estimate","1,529","7,008","15,562","1,368","14,089","3,998","937","5,428","6,354","22,912","10,556","3,734","2,194"
"Bozeman, MT Metro Area","","","","","","","","","","","","",""
"    Estimate","1,916","9,861","2,766","1,661","9,848","2,844","1,262","5,236","9,819","15,757","8,091","3,811","2,685"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,036","8,611","12,356","1,765","13,954","6,788","2,227","5,116","14,764","27,170","11,429","7,502","14,113"
"Bridgeport-Stamford-Danbury, CT Metro Area","","","","","","","","","","","","",""
"    Estimate","1,429","33,633","42,512","9,664","48,574","17,266","14,138","54,916","85,024","120,325","38,921","24,339","9,820"
"Brownsville-Harlingen, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","3,469","13,410","12,332","3,906","18,945","7,772","3,181","10,118","16,389","57,819","14,973","9,195","10,380"
"Brunswick-St. Simons, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","794","3,571","4,094","737","6,858","2,686","1,148","2,193","6,876","10,410","4,243","1,907","3,384"
"Buffalo-Cheektowaga, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","2,199","31,328","63,792","11,004","58,209","31,371","7,942","45,466","60,098","160,503","46,656","25,871","26,593"
"Burlington, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","208","6,376","12,257","2,121","11,926","3,386","523","5,485","8,119","26,502","7,511","3,459","1,978"
"Burlington-South Burlington, VT Metro Area","","","","","","","","","","","","",""
"    Estimate","2,402","9,872","14,922","2,001","13,157","4,405","2,346","6,313","16,257","37,886","11,064","3,797","6,312"
"Canton-Massillon, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","2,105","11,755","32,352","4,456","23,275","11,050","1,689","9,186","17,805","47,612","15,218","9,896","6,056"
"Cape Coral-Fort Myers, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,674","46,669","16,173","6,425","50,435","24,175","4,931","26,354","47,188","71,445","37,608","15,356","12,244"
"Cape Girardeau, MO-IL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,373","2,704","4,956","1,394","5,853","2,187","601","3,486","4,013","14,261","5,237","3,058","1,535"
"Carson City, NV Metro Area","","","","","","","","","","","","",""
"    Estimate","490","2,631","3,731","0","2,427","1,140","397","1,487","3,702","5,383","2,495","1,064","3,635"
"Casper, WY Metro Area","","","","","","","","","","","","",""
"    Estimate","2,757","2,488","2,504","1,756","4,220","2,719","524","1,845","4,071","9,665","2,616","2,307","2,355"
"Cedar Rapids, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,700","10,307","24,920","3,223","13,774","8,380","2,421","9,928","13,448","32,196","11,305","5,430","3,934"
"Chambersburg, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,210","4,841","10,415","2,247","10,186","4,791","1,059","3,108","6,844","17,199","4,770","3,198","4,845"
"Champaign-Urbana, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,689","5,025","9,343","2,599","10,942","4,830","2,085","5,467","9,433","40,784","10,537","4,956","4,079"
"Charleston, WV Metro Area","","","","","","","","","","","","",""
"    Estimate","2,285","5,303","4,646","1,065","10,162","4,189","1,528","4,277","10,007","25,033","6,016","2,837","8,741"
"Charleston-North Charleston, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,942","31,738","45,380","7,034","42,702","27,643","5,969","32,065","69,018","89,545","41,557","19,600","21,181"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","","","","","","","","","","","","",""
"    Estimate","8,629","103,226","153,247","33,892","161,963","103,692","27,309","167,236","204,355","279,005","114,717","72,467","41,337"
"Charlottesville, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,259","6,850","4,561","1,248","12,925","3,301","2,280","5,983","17,124","36,503","8,537","5,106","6,099"
"Chattanooga, TN-GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,266","23,176","38,177","6,287","34,761","22,594","4,215","18,999","28,313","60,630","22,976","13,870","7,397"
"Cheyenne, WY Metro Area","","","","","","","","","","","","",""
"    Estimate","1,256","4,105","2,258","306","6,094","3,559","753","3,290","4,090","10,506","3,723","1,758","5,167"
"Chicago-Naperville-Elgin, IL-IN Metro Area","","","","","","","","","","","","",""
"    Estimate","16,573","249,631","542,642","119,059","465,891","351,165","85,592","374,153","700,721","1,096,364","411,668","224,550","153,835"
"Chico, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,562","4,021","5,984","2,279","9,069","4,502","1,638","5,489","9,674","27,710","10,545","6,090","3,909"
"Cincinnati, OH-KY-IN Metro Area","","","","","","","","","","","","",""
