"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","9,658","18,481","17,389","3,695","18,200","11,232","3,486","9,685","21,503","40,540","14,407","10,798","8,439"
"Green Bay, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","2,899","10,667","35,224","3,906","19,544","11,473","1,680","13,150","14,273","37,888","11,710","7,495","4,889"
"Greensboro-High Point, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","2,619","21,515","59,903","9,463","45,951","25,691","4,912","21,626","37,409","86,855","38,580","17,772","12,347"
"Greenville, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","356","3,941","9,072","1,034","7,630","4,158","1,293","4,536","6,525","26,587","10,973","4,033","2,079"
"Greenville-Anderson-Greer, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","2,457","32,140","88,409","10,274","45,085","25,177","5,811","27,994","61,946","106,837","40,235","25,032","11,602"
"Guayama, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","246","1,121","3,024","121","2,975","658","307","802","2,477","4,224","1,643","1,449","1,283"
"Gulfport-Biloxi, MS Metro Area","","","","","","","","","","","","",""
"    Estimate","2,078","13,825","20,443","3,290","21,302","10,528","1,665","9,703","18,140","42,974","24,863","7,952","11,064"
"Hagerstown-Martinsburg, MD-WV Metro Area","","","","","","","","","","","","",""
"    Estimate","1,444","13,732","12,679","2,421","16,135","11,342","3,707","10,932","16,031","29,383","9,473","6,566","12,206"
"Hammond, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","854","6,083","3,935","1,030","8,020","4,362","961","2,374","5,278","15,946","5,760","2,349","4,377"
"Hanford-Corcoran, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","7,731","3,944","4,471","1,697","4,862","1,943","270","967","2,544","11,386","5,004","2,897","5,915"
"Harrisburg-Carlisle, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","4,353","16,547","24,361","6,645","32,504","21,469","4,987","21,074","36,552","79,370","24,448","13,187","22,670"
"Harrisonburg, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,944","5,442","8,502","1,165","7,587","4,032","1,071","2,368","5,010","17,541","7,133","3,537","2,105"
"Hartford-West Hartford-East Hartford, CT Metro Area","","","","","","","","","","","","",""
"    Estimate","2,986","32,888","63,095","10,705","58,104","33,893","9,526","56,093","75,927","163,224","48,307","22,301","26,495"
"Hattiesburg, MS Metro Area","","","","","","","","","","","","",""
"    Estimate","1,580","4,392","6,323","924","8,404","3,721","265","4,591","6,890","21,211","8,617","4,275","2,647"
"Helena, MT Metro Area","","","","","","","","","","","","",""
"    Estimate","1,574","4,707","1,826","563","4,553","1,521","208","3,544","4,655","11,530","3,352","2,181","5,126"
"Hickory-Lenoir-Morganton, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,332","9,665","42,371","4,210","19,330","8,894","1,409","7,359","15,299","38,473","14,013","9,675","7,824"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","655","11,825","4,802","2,474","14,493","3,646","1,645","7,469","11,499","17,555","12,531","3,601","4,028"
"Hinesville, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","476","1,518","2,358","567","3,846","3,063","108","1,185","3,141","7,205","4,264","1,397","2,695"
"Homosassa Springs, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","759","3,717","3,931","1,433","8,833","3,479","857","3,988","5,369","11,409","7,314","2,751","1,464"
"Hot Springs, AR Metro Area","","","","","","","","","","","","",""
"    Estimate","341","2,523","3,824","1,047","6,131","1,754","928","1,641","4,017","10,538","4,684","3,049","1,387"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","4,458","10,414","6,980","1,540","9,508","8,647","1,259","3,911","5,726","18,498","8,007","4,879","3,482"
"Houston-Pasadena-The Woodlands, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","83,151","335,944","345,313","97,479","376,342","272,055","39,097","224,282","526,255","797,507","307,345","185,412","105,234"
"Huntington-Ashland, WV-KY-OH Metro Area","","","","","","","","","","","","",""
"    Estimate","1,166","10,643","13,713","3,115","17,971","12,148","2,030","7,519","11,554","51,550","10,474","7,494","10,572"
"Huntsville, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","627","15,677","42,420","3,535","24,344","7,413","3,258","11,194","54,967","48,974","17,928","13,648","21,826"
"Idaho Falls, ID Metro Area","","","","","","","","","","","","",""
"    Estimate","2,054","7,371","5,894","2,482","8,971","5,044","1,213","4,129","10,479","15,255","7,305","4,292","3,953"
"Indianapolis-Carmel-Greenwood, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","7,448","69,300","133,190","27,330","117,195","75,458","15,702","79,527","141,812","266,334","84,510","50,077","45,954"
"Iowa City, IA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,571","4,457","8,044","1,638","10,984","4,057","1,240","4,724","7,741","39,312","8,492","3,270","3,548"
"Ithaca, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","347","877","2,646","840","3,233","1,035","1,045","1,552","7,598","24,489","4,792","1,946","1,671"
"Jackson, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","571","3,936","12,757","1,426","7,059","5,104","772","2,716","4,958","17,748","4,929","3,612","3,502"
"Jackson, MS Metro Area","","","","","","","","","","","","",""
"    Estimate","3,763","13,943","26,037","6,620","33,422","18,268","5,189","16,898","25,358","72,201","25,516","17,643","16,679"
"Jackson, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","389","4,411","14,767","1,909","9,182","5,962","1,216","3,121","8,649","17,591","6,891","4,027","3,423"
"Jacksonville, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,981","60,488","45,171","15,740","102,179","53,239","12,615","95,366","113,006","167,818","75,501","40,006","39,276"
"Jacksonville, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","611","5,638","4,642","583","11,335","5,052","729","4,223","7,442","14,749","8,403","4,527","7,025"
"Janesville-Beloit, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,422","6,286","15,609","2,827","10,209","3,971","716","3,243","8,220","18,493","4,232","4,435","3,942"
"Jefferson City, MO Metro Area","","","","","","","","","","","","",""
"    Estimate","862","6,318","7,031","1,101","7,261","3,747","971","4,284","6,012","16,257","3,520","3,552","10,592"
"Johnson City, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,363","7,037","12,574","1,409","10,813","6,150","1,403","6,041","10,317","23,067","8,059","3,058","4,590"
"Johnstown, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,094","3,451","5,947","994","7,311","4,052","619","2,715","4,136","17,488","4,134","3,102","3,941"
"Jonesboro, AR Metro Area","","","","","","","","","","","","",""
"    Estimate","534","5,400","7,478","718","8,058","2,843","675","4,538","4,438","18,691","6,184","1,671","1,772"
"Joplin, MO-KS Metro Area","","","","","","","","","","","","",""
"    Estimate","1,499","5,589","18,263","2,008","11,649","5,890","1,601","4,760","7,594","21,765","10,047","4,174","2,291"
"Kahului-Wailuku, HI Metro Area","","","","","","","","","","","","",""
"    Estimate","844","6,650","1,925","986","9,321","4,977","739","5,276","10,516","14,563","16,908","3,982","4,895"
"Kalamazoo-Portage, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,295","6,219","24,512","1,410","15,637","4,561","1,116","7,794","16,261","33,159","13,884","6,395","5,106"
"Kankakee, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","644","3,206","7,438","1,365","5,990","4,581","495","2,415","3,220","13,519","4,507","2,371","1,067"
"Kansas City, MO-KS Metro Area","","","","","","","","","","","","",""
"    Estimate","10,346","78,109","106,709","30,744","124,772","74,526","23,744","103,119","160,502","264,403","87,124","48,782","51,474"
"Kennewick-Richland, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","8,918","12,292","11,218","2,271","17,083","7,079","1,514","5,321","22,065","29,371","11,793","5,543","5,943"
"Kenosha, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","526","4,041","16,621","3,371","12,483","7,370","785","3,826","8,210","17,445","8,176","2,630","4,061"
"Killeen-Temple, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","2,084","17,819","14,311","3,053","25,868","13,324","2,325","12,576","20,677","47,140","19,491","9,679","16,156"
"Kingsport-Bristol, TN-VA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,385","8,317","17,032","2,824","18,809","7,653","1,405","8,616","10,996","32,228","13,542","6,741","5,452"
"Kingston, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","2,411","6,630","4,760","1,865","9,501","3,915","2,605","3,985","9,906","25,574","8,918","4,511","3,421"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","2,333","22,497","22,687","7,886","41,293","19,695","8,658","19,943","37,827","98,443","25,270","16,262","18,975"
"Knoxville, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","3,687","36,322","43,787","10,063","53,182","29,638","6,832","28,306","59,638","101,160","44,668","24,272","19,002"
"Kokomo, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","286","2,544","8,714","589","4,460","2,393","385","1,425","2,361","8,357","2,527","2,555","1,166"
"La Crosse-Onalaska, WI-MN Metro Area","","","","","","","","","","","","",""
"    Estimate","2,473","5,633","10,226","2,276","11,309","5,953","865","4,888","6,335","26,105","7,180","3,228","3,371"
"Lafayette, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","13,863","17,067","11,699","4,207","23,614","9,608","2,411","10,318","21,084","45,487","19,987","10,231","5,656"
"Lafayette-West Lafayette, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,740","5,154","20,889","1,338","9,363","3,768","1,566","5,133","10,024","39,704","11,537","3,947","3,218"
"Lake Charles, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,861","8,574","10,224","934","12,092","8,831","1,307","4,250","9,384","28,059","11,648","4,630","5,921"
"Lake Havasu City-Kingman, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","2,066","7,606","5,914","648","11,907","3,167","151","4,452","7,123","16,932","9,546","4,302","3,021"
"Lakeland-Winter Haven, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","6,354","28,886","21,973","8,093","45,948","30,252","5,706","30,804","42,285","72,819","50,071","19,744","12,683"
"Lancaster, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,261","21,583","38,392","9,378","32,541","16,812","3,898","14,178","29,439","64,897","25,927","14,109","6,326"
"Lansing-East Lansing, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","2,542","12,243","26,236","4,088","26,212","12,082","2,710","19,601","23,565","62,994","18,870","10,353","18,564"
"Laredo, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","3,581","5,668","3,339","3,436","13,964","20,872","909","5,330","12,029","25,614","10,030","5,506","6,320"
"Las Cruces, NM Metro Area","","","","","","","","","","","","",""
"    Estimate","3,245","6,336","5,874","1,665","9,105","3,426","823","4,232","11,018","28,755","10,937","4,975","9,103"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","","","","","","","","","","","","",""
"    Estimate","5,074","87,027","43,945","20,012","124,259","98,637","19,595","69,380","148,860","183,006","254,841","46,359","40,928"
"Lawrence, KS Metro Area","","","","","","","","","","","","",""
"    Estimate","386","2,874","4,306","837","8,047","2,765","1,587","4,063","9,234","19,829","5,635","3,199","1,954"
"Lawton, OK Metro Area","","","","","","","","","","","","",""
"    Estimate","981","2,987","3,892","637","6,410","1,753","717","1,802","4,115","11,215","4,946","1,567","4,745"
"Lebanon, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,680","5,422","7,800","1,930","8,083","6,884","1,344","3,153","5,720","17,987","5,336","4,122","4,004"
"Lewiston, ID-WA Metro Area","","","","","","","","","","","","",""
"    Estimate","845","1,801","5,184","164","3,411","639","607","1,295","1,834","8,040","2,683","921","1,646"
"Lewiston-Auburn, ME Metro Area","","","","","","","","","","","","",""
"    Estimate","1,026","3,644","6,622","907","10,077","2,125","860","3,985","5,101","14,121","4,183","2,708","1,281"
"Lexington-Fayette, KY Metro Area","","","","","","","","","","","","",""
"    Estimate","6,081","15,338","29,687","5,145","31,107","12,924","3,315","14,168","29,098","78,951","21,492","13,073","9,129"
"Lexington Park, MD Metro Area","","","","","","","","","","","","",""
"    Estimate","569","10,539","4,147","1,010","9,318","5,564","864","3,823","18,262","19,400","8,454","5,220","21,566"
"Lima, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","724","2,525","10,715","944","5,319","1,926","702","1,402","3,557","11,635","4,585","2,808","1,056"
"Lincoln, NE Metro Area","","","","","","","","","","","","",""
"    Estimate","3,339","10,146","19,507","3,449","17,078","8,188","2,870","13,408","19,450","50,352","16,248","9,704","10,560"
"Little Rock-North Little Rock-Conway, AR Metro Area","","","","","","","","","","","","",""
"    Estimate","3,434","25,617","28,130","5,874","48,131","22,795","5,740","28,439","36,495","93,284","24,155","17,295","20,801"
"Logan, UT-ID Metro Area","","","","","","","","","","","","",""
"    Estimate","2,344","5,348","13,354","1,090","9,122","2,695","673","3,218","10,363","19,050","7,776","2,502","2,316"
"Longview, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","5,879","8,582","15,987","5,102","14,590","10,077","1,628","7,975","10,998","32,451","10,922","6,174","4,137"
"Longview-Kelso, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","713","4,961","5,257","1,186","5,049","4,627","875","1,532","3,781","10,823","5,323","2,759","2,289"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","31,976","404,829","597,576","170,394","635,601","405,795","253,730","386,262","935,482","1,413,991","701,776","335,088","224,263"
"Louisville/Jefferson County, KY-IN Metro Area","","","","","","","","","","","","",""
"    Estimate","4,591","38,260","99,435","12,979","67,909","52,320","7,477","50,334","66,479","153,973","58,740","33,446","24,275"
"Lubbock, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","7,001","12,120","9,371","4,634","23,644","11,124","2,984","8,947","15,498","50,926","17,952","10,297","6,358"
"Lynchburg, VA Metro Area","","","","","","","","","","","","",""
"    Estimate","947","10,269","14,880","1,200","14,285","6,061","1,293","6,853","11,556","36,929","11,034","6,623","4,297"
"Macon-Bibb County, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","1,164","5,553","9,641","2,167","11,600","7,763","624","7,060","7,343","25,552","8,263","6,004","7,425"
"Madison, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","4,865","21,644","39,529","5,054","37,622","10,737","8,104","24,251","66,838","109,169","26,991","17,459","18,279"
"Manchester-Nashua, NH Metro Area","","","","","","","","","","","","",""
"    Estimate","411","19,926","33,112","4,995","27,087","11,551","4,490","18,181","37,562","57,195","16,278","9,282","6,163"
"Manhattan, KS Metro Area","","","","","","","","","","","","",""
"    Estimate","1,780","4,238","2,720","642","5,013","2,038","1,281","3,433","4,799","19,531","5,399","2,207","4,888"
"Mankato, MN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,857","2,648","7,627","469","8,612","2,365","775","1,845","4,076","16,900","3,969","1,909","2,123"
"Mansfield, OH Metro Area","","","","","","","","","","","","",""
"    Estimate","617","2,959","10,261","1,394","6,404","2,700","554","2,111","4,258","14,699","3,377","1,835","2,391"
"Mayagüez, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","628","4,381","9,151","446","8,989","2,208","502","2,822","5,283","16,622","6,953","2,898","3,689"
"McAllen-Edinburg-Mission, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","11,390","32,831","19,864","11,500","43,789","26,345","5,065","15,644","35,816","95,149","36,076","20,948","16,809"
"Medford, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","2,111","5,678","7,704","2,192","11,742","5,701","1,277","5,320","9,249","28,905","11,811","4,500","3,442"
"Memphis, TN-MS-AR Metro Area","","","","","","","","","","","","",""
"    Estimate","3,108","34,394","61,529","15,376","64,198","88,828","6,562","34,628","65,106","140,912","53,385","28,008","36,795"
"Merced, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","12,847","9,222","11,825","3,675","11,525","6,685","831","4,049","8,656","27,785","12,047","6,236","5,387"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","18,510","251,185","146,069","87,710","338,239","252,476","49,556","274,326","475,281","644,329","328,939","176,354","101,693"
"Michigan City-La Porte, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","489","3,482","10,669","459","4,402","2,969","390","1,896","3,381","10,997","4,727","2,922","2,114"
"Midland, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","728","2,792","5,672","482","4,866","1,161","393","1,603","5,043","9,628","2,973","2,127","2,148"
"Midland, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","20,814","4,553","4,372","3,361","9,831","6,202","437","3,207","7,100","19,561","4,437","5,265","2,605"
"Milwaukee-Waukesha, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","6,191","42,576","140,398","18,106","86,366","36,389","9,493","59,910","93,864","196,072","58,339","33,403","23,429"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","","","","","","","","","","","","",""
"    Estimate","17,460","122,584","280,684","51,688","206,448","97,370","33,282","164,196","254,938","495,853","150,269","88,460","71,529"
"Minot, ND Metro Area","","","","","","","","","","","","",""
"    Estimate","2,475","2,109","1,972","1,353","2,745","2,970","343","2,141","953","9,425","3,131","2,675","2,400"
"Missoula, MT Metro Area","","","","","","","","","","","","",""
"    Estimate","2,156","5,023","3,425","1,138","6,761","4,303","1,266","3,967","9,543","19,689","7,269","3,569","2,841"
"Mobile, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,383","13,856","24,174","4,955","23,550","10,680","2,368","8,483","19,145","44,380","16,003","9,696","7,621"
"Modesto, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","10,977","22,589","29,967","5,708","32,635","17,167","3,004","8,421","21,141","55,349","20,261","12,979","8,956"
"Monroe, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,509","5,924","9,435","2,814","8,862","4,533","2,894","5,834","8,887","24,031","8,391","4,496","5,049"
"Monroe, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","730","6,591","13,451","1,402","8,459","4,806","984","2,322","5,791","19,084","5,752","2,043","3,202"
"Montgomery, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","935","8,955","21,410","3,516","19,089","11,862","1,918","9,795","17,388","34,428","14,601","8,472","16,317"
"Morgantown, WV Metro Area","","","","","","","","","","","","",""
"    Estimate","2,352","3,741","3,216","551","8,486","3,692","677","2,205","5,726","25,186","7,563","3,375","3,457"
"Morristown, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","781","5,060","11,399","910","7,194","4,081","1,218","1,509","4,886","10,800","4,823","3,238","2,159"
"Mount Vernon-Anacortes, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,524","6,086","6,806","1,385","7,103","3,626","574","2,761","5,505","13,471","4,527","3,280","2,981"
"Muncie, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","439","3,445","6,583","637","6,509","3,102","703","1,933","4,508","16,515","6,306","3,357","1,664"
"Muskegon-Norton Shores, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,515","5,034","19,011","1,530","9,977","2,484","695","2,502","7,123","17,403","7,079","3,910","2,345"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,998","17,073","10,495","2,523","24,032","6,218","2,891","12,412","18,735","34,001","26,635","9,849","6,544"
"Napa, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,920","4,244","9,339","1,515","6,220","2,548","769","2,950","8,897","15,392","8,630","3,025","3,717"
"Naples-Marco Island, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","4,593","17,114","8,438","2,939","19,530","7,078","2,640","16,230","24,945","31,443","24,265","9,170","4,481"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","","","","","","","","","","","","",""
"    Estimate","6,771","79,289","115,716","26,326","119,123","69,068","28,328","77,477","149,431","267,522","104,104","55,106","41,342"
"New Haven, CT Metro Area","","","","","","","","","","","","",""
"    Estimate","385","16,614","27,994","3,819","27,619","15,268","5,936","17,482","30,538","110,011","21,860","11,834","7,978"
"New Orleans-Metairie, LA Metro Area","","","","","","","","","","","","",""
"    Estimate","3,332","35,618","26,184","10,402","41,622","32,497","5,660","24,902","58,288","114,507","54,035","22,677","24,026"
"New York-Newark-Jersey City, NY-NJ Metro Area","","","","","","","","","","","","",""
"    Estimate","18,744","567,576","527,854","195,107","882,018","629,118","304,396","893,675","1,499,879","2,655,371","798,279","466,874","389,557"
"Niles, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","1,160","3,858","14,417","883","6,547","3,265","1,095","3,426","5,658","16,298","8,728","3,201","1,785"
"North Port-Bradenton-Sarasota, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","3,150","36,823","20,749","7,843","50,000","20,685","4,867","32,589","58,824","81,073","44,821","21,625","10,807"
"Norwich-New London-Willimantic, CT Metro Area","","","","","","","","","","","","",""
"    Estimate","1,073","8,782","19,571","1,567","14,832","7,133","2,528","4,454","11,640","37,485","15,884","4,729","7,203"
"Ocala, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,435","12,735","12,486","3,166","23,224","11,448","2,660","11,768","18,458","34,288","15,554","8,096","8,009"
"Odessa, TX Metro Area","","","","","","","","","","","","",""
"    Estimate","9,119","9,082","5,574","1,974","10,784","7,524","355","3,611","5,664","15,626","5,259","2,678","2,622"
"Ogden, UT Metro Area","","","","","","","","","","","","",""
"    Estimate","2,621","29,218","40,109","5,511","36,764","19,155","3,811","23,023","37,515","72,971","22,665","15,795","29,708"
"Oklahoma City, OK Metro Area","","","","","","","","","","","","",""
"    Estimate","20,000","50,500","46,465","14,825","87,202","40,884","9,139","48,930","79,292","165,083","64,101","39,789","47,403"
"Olympia-Lacey-Tumwater, WA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,107","8,560","7,144","2,105","15,884","6,960","1,733","6,971","12,718","35,374","10,389","6,497","24,102"
"Omaha, NE-IA Metro Area","","","","","","","","","","","","",""
"    Estimate","6,702","37,397","44,774","12,607","56,476","32,482","9,174","53,292","62,173","124,852","41,706","22,188","18,465"
"Orlando-Kissimmee-Sanford, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","5,780","104,435","76,547","26,426","166,425","100,895","25,495","100,074","220,681","278,472","227,317","64,247","40,549"
"Oshkosh-Neenah, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","611","4,528","23,213","2,019","9,092","5,474","848","4,198","7,274","21,284","5,061","4,381","3,281"
"Owensboro, KY Metro Area","","","","","","","","","","","","",""
"    Estimate","881","3,163","9,859","1,116","7,821","2,622","315","3,561","2,408","13,185","7,090","2,168","1,485"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","18,449","26,769","41,699","8,105","43,869","17,649","11,336","22,697","53,359","87,344","37,452","17,333","21,815"
"Paducah, KY-IL Metro Area","","","","","","","","","","","","",""
"    Estimate","903","3,117","4,223","686","6,745","3,609","933","3,430","4,207","11,334","5,481","2,054","1,797"
"Palm Bay-Melbourne-Titusville, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","983","24,009","38,304","3,701","34,487","14,997","4,251","16,371","42,405","58,157","27,999","14,148","13,465"
"Panama City-Panama City Beach, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","269","9,448","6,587","1,576","11,097","3,450","1,354","10,491","13,398","16,933","14,341","6,294","10,087"
"Parkersburg-Vienna, WV Metro Area","","","","","","","","","","","","",""
"    Estimate","329","2,427","4,072","413","4,144","2,988","350","2,054","2,315","10,716","3,540","1,861","3,547"
"Pensacola-Ferry Pass-Brent, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,827","17,691","8,998","4,730","28,709","13,602","1,723","21,159","26,829","60,120","23,927","12,715","15,240"
"Peoria, IL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,975","10,566","25,825","3,596","18,005","7,525","2,077","9,850","15,126","48,891","13,689","8,400","5,480"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","","","","","","","","","","","","",""
"    Estimate","15,285","180,258","283,350","63,962","326,333","183,526","57,008","256,706","436,286","865,668","240,171","137,217","141,360"
"Phoenix-Mesa-Chandler, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","14,638","204,650","203,791","51,050","289,159","147,663","47,501","258,090","332,108","529,787","221,863","116,765","102,515"
"Pinehurst-Southern Pines, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","601","2,933","4,113","581","4,226","1,640","617","2,556","4,150","11,244","4,390","2,339","2,388"
"Pittsburgh, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","11,567","82,284","127,482","25,098","134,399","77,142","20,081","85,726","150,173","320,413","101,094","54,398","33,828"
"Pittsfield, MA Metro Area","","","","","","","","","","","","",""
"    Estimate","314","4,576","5,889","773","7,269","2,538","1,065","3,396","6,615","18,819","6,895","3,218","2,251"
"Pocatello, ID Metro Area","","","","","","","","","","","","",""
"    Estimate","1,310","2,293","2,526","377","3,689","2,509","259","2,664","3,739","13,770","5,243","1,620","2,384"
"Ponce, PR Metro Area","","","","","","","","","","","","",""
"    Estimate","1,655","6,400","8,687","802","13,262","2,814","1,136","3,896","7,662","22,464","9,893","5,119","5,128"
"Portland-South Portland, ME Metro Area","","","","","","","","","","","","",""
"    Estimate","4,691","18,749","29,709","4,788","37,317","12,343","5,971","23,871","43,103","81,964","26,176","13,516","10,763"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","","","","","","","","","","","","",""
"    Estimate","17,788","89,881","165,723","32,824","152,945","72,154","25,195","72,649","184,944","302,076","110,349","59,745","49,733"
"Port St. Lucie, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,582","21,925","14,394","4,099","29,433","15,052","2,886","14,593","32,164","51,341","24,819","13,859","8,354"
"Prescott Valley-Prescott, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","1,847","7,922","5,912","1,534","11,878","4,481","1,665","6,794","10,599","25,545","11,391","4,541","5,048"
"Providence-Warwick, RI-MA Metro Area","","","","","","","","","","","","",""
"    Estimate","5,695","60,979","93,345","16,010","104,052","38,696","10,069","54,540","98,888","224,491","75,085","38,387","38,218"
"Provo-Orem-Lehi, UT Metro Area","","","","","","","","","","","","",""
"    Estimate","2,822","29,621","30,812","8,269","40,007","9,849","8,725","24,569","58,931","98,979","27,098","18,129","10,051"
"Pueblo, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","1,178","6,584","4,819","2,013","7,212","4,822","486","3,649","6,730","22,150","7,395","3,009","5,807"
"Punta Gorda, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","1,042","8,144","3,782","2,015","9,484","3,410","742","5,830","9,594","13,598","9,899","4,649","4,746"
"Racine-Mount Pleasant, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","974","6,775","23,845","2,255","10,688","6,801","460","4,245","7,515","21,954","6,846","3,118","2,284"
"Raleigh-Cary, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","6,593","56,468","79,989","15,537","77,920","31,751","16,203","65,947","167,823","156,989","57,096","34,761","37,530"
"Rapid City, SD Metro Area","","","","","","","","","","","","",""
