State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
New York,8/1/2021,16060,9577,59.6,-1.3,8932,645,58.6,6.7,609,42.3,36,1.06,194,2.1,302,3.3
North Carolina,8/1/2021,8357,4978,59.6,-1.7,4738,240,25.7,4.8,370,58.8,-130,0.65,181,3.9,233,5.0
North Dakota,8/1/2021,596,408,68.4,-0.7,397,11,22.6,2.7,31,29.2,-20,0.36,12,2.9,22,5.3
Ohio,8/1/2021,9333,5730,61.4,-2.1,5450,280,3.8,4.9,391,52.7,-111,0.72,135,2.5,233,4.3
Oklahoma,8/1/2021,3069,1858,60.6,-0.1,1789,70,20.0,3.7,116,41.5,-46,0.60,60,3.6,89,5.4
Oregon,8/1/2021,3468,2147,61.9,0.9,2044,104,38.6,4.8,140,29.6,-36,0.74,45,2.4,85,4.5
Pennsylvania,8/1/2021,10506,6431,61.2,-1.7,6064,366,18.8,5.7,428,51.8,-62,0.86,112,1.9,190,3.3
Rhode Island,8/1/2021,900,573,63.7,-0.5,541,32,52.8,5.6,42,75.0,-10,0.76,12,2.5,22,4.6
South Carolina,8/1/2021,4132,2356,57.0,-0.5,2265,91,33.1,3.9,178,63.3,-87,0.51,70,3.3,108,5.0
South Dakota,8/1/2021,685,471,68.7,-0.2,458,12,6.6,2.7,32,39.1,-20,0.39,12,2.7,24,5.4
Tennessee,8/1/2021,5531,3327,60.1,-1.2,3187,139,20.3,4.2,218,58.0,-79,0.64,97,3.1,157,5.0
Texas,8/1/2021,22580,14364,63.6,-0.2,13593,771,54.2,5.4,894,70.0,-123,0.86,398,3.1,598,4.7
Utah,8/1/2021,2495,1692,67.8,-0.4,1648,44,8.1,2.6,121,63.5,-77,0.36,46,2.8,72,4.4
Vermont,8/1/2021,541,336,62.2,-3.7,325,11,45.4,3.4,23,35.3,-12,0.49,12,4.0,13,4.4
Virginia,8/1/2021,6809,4327,63.6,-2.1,4174,153,17.7,3.5,300,37.0,-147,0.51,102,2.6,160,4.1
Washington,8/1/2021,6170,3906,63.3,-2.0,3712,194,27.7,5.0,223,13.2,-29,0.87,77,2.3,146,4.3
West Virginia,8/1/2021,1442,780,54.1,-0.9,741,38,-9.4,4.9,58,18.4,-20,0.66,23,3.3,34,4.9
Wisconsin,8/1/2021,4719,3100,65.7,-0.2,2987,113,22.5,3.7,222,38.8,-109,0.51,70,2.4,117,4.0
Wyoming,8/1/2021,455,288,63.4,-2.3,276,13,-8.7,4.4,21,16.7,-8,0.60,11,4.0,14,5.0
Alabama,7/1/2021,3991,2255,56.5,-0.8,2180,75,1.5,3.3,143,44.4,-68,0.53,69,3.4,98,4.8
Alaska,7/1/2021,546,354,64.7,0.0,331,23,19.3,6.5,27,17.4,-4,0.85,12,3.9,18,5.9
Arizona,7/1/2021,5759,3536,61.4,-0.6,3360,175,4.3,5.0,205,34.0,-30,0.85,88,3.0,127,4.3
Arkansas,7/1/2021,2363,1338,56.6,-1.2,1285,53,10.3,4.0,84,31.3,-31,0.63,40,3.1,62,4.9
California,7/1/2021,31064,19046,61.3,-1.7,17645,1402,62.8,7.4,974,20.5,428,1.44,387,2.3,625,3.8
Colorado,7/1/2021,4638,3168,68.3,-0.4,2991,177,78.9,5.6,226,79.4,-49,0.78,83,3.0,138,5.0
Connecticut,7/1/2021,2941,1851,62.9,-3.5,1733,118,58.2,6.4,92,37.3,26,1.29,36,2.2,62,3.8
Delaware,7/1/2021,809,495,61.2,0.3,467,28,58.5,5.6,28,27.3,0,0.99,17,3.8,20,4.5
District of Columbia,7/1/2021,546,381,69.7,-1.5,354,27,17.9,7.0,48,60.0,-21,0.56,12,1.6,26,3.5
Florida,7/1/2021,17776,10395,58.5,-1.0,9919,476,54.4,4.6,572,32.4,-96,0.83,245,2.8,434,4.9
Georgia,7/1/2021,8398,5182,61.7,-1.2,4983,198,5.5,3.8,368,55.3,-170,0.54,211,4.6,265,5.8
Hawaii,7/1/2021,1125,672,59.7,-1.5,635,37,144.2,5.5,40,33.3,-3,0.92,14,2.4,28,4.8
Idaho,7/1/2021,1474,927,62.9,-1.2,895,32,27.9,3.5,63,61.5,-31,0.51,28,3.5,46,5.8
Illinois,7/1/2021,10082,6375,63.2,-1.1,5983,392,56.4,6.1,379,46.3,13,1.03,162,2.8,271,4.7
Indiana,7/1/2021,5334,3357,62.9,-1.4,3226,131,14.2,3.9,229,45.9,-98,0.57,105,3.4,150,4.9
Iowa,7/1/2021,2512,1699,67.6,-1.6,1632,67,49.0,4.0,91,18.2,-24,0.74,46,3.0,67,4.4
Kansas,7/1/2021,2262,1504,66.5,-0.6,1453,52,4.7,3.4,81,19.1,-29,0.64,38,2.8,65,4.7
Kentucky,7/1/2021,3535,2027,57.4,-1.2,1935,92,7.8,4.5,152,56.7,-60,0.61,72,3.8,107,5.7
Louisiana,7/1/2021,3581,2075,58.0,-0.3,1961,114,16.0,5.5,131,44.0,-17,0.87,68,3.6,92,4.9
Maine,7/1/2021,1143,688,60.2,-1.6,655,33,49.6,4.9,42,35.5,-9,0.80,15,2.4,21,3.4
Maryland,7/1/2021,4887,3181,65.1,-4.2,3007,173,47.8,5.5,192,17.1,-19,0.90,61,2.3,106,4.0
Massachusetts,7/1/2021,5749,3751,65.2,-0.8,3546,205,92.2,5.5,227,37.6,-22,0.90,58,1.7,130,3.7
Michigan,7/1/2021,8064,4787,59.4,-1.9,4493,294,57.2,6.2,350,62.8,-56,0.84,103,2.5,211,5.0
Minnesota,7/1/2021,4505,3037,67.4,-2.5,2921,115,4.8,3.8,186,35.8,-71,0.62,89,3.1,102,3.6
Mississippi,7/1/2021,2281,1256,55.1,-0.9,1187,69,-6.2,5.5,80,53.8,-11,0.86,41,3.6,58,5.1
Missouri,7/1/2021,4865,3050,62.7,-1.3,2927,123,17.9,4.0,173,40.7,-50,0.71,92,3.2,133,4.7
Montana,7/1/2021,885,551,62.3,-1.4,532,19,-2.2,3.4,38,35.7,-19,0.50,17,3.5,27,5.5
Nebraska,7/1/2021,1512,1050,69.5,-0.6,1022,28,-10.8,2.7,67,34.0,-39,0.42,29,2.9,48,4.8
Nevada,7/1/2021,2499,1501,60.1,-4.2,1401,99,45.2,6.6,114,56.2,-15,0.87,38,2.8,86,6.3
New Hampshire,7/1/2021,1151,757,65.8,-2.7,731,26,26.7,3.4,52,52.9,-26,0.49,18,2.7,29,4.4
New Jersey,7/1/2021,7414,4686,63.2,-1.1,4366,320,66.6,6.8,282,43.1,38,1.14,100,2.5,144,3.6
New Mexico,7/1/2021,1672,946,56.6,-1.4,879,67,33.1,7.1,60,25.0,7,1.12,24,3.0,36,4.5
New York,7/1/2021,16067,9576,59.6,-1.3,8909,667,64.0,7.0,508,18.7,159,1.31,162,1.8,311,3.5
North Carolina,7/1/2021,8345,4949,59.3,-1.9,4706,244,27.8,4.9,348,49.4,-104,0.70,153,3.3,270,5.9
North Dakota,7/1/2021,596,408,68.5,-0.6,397,12,29.1,2.9,29,20.8,-17,0.40,12,2.9,21,5.1
Ohio,7/1/2021,9330,5737,61.5,-2.0,5445,291,8.0,5.1,333,30.1,-42,0.88,135,2.5,245,4.6
Oklahoma,7/1/2021,3066,1861,60.7,0.1,1786,75,29.3,4.0,114,39.0,-39,0.66,49,3.0,72,4.4
Oregon,7/1/2021,3468,2150,62.0,1.0,2042,109,45.4,5.1,127,17.6,-18,0.86,50,2.7,82,4.4
Pennsylvania,7/1/2021,10505,6445,61.3,-1.6,6060,385,24.7,6.0,414,46.8,-29,0.93,114,2.0,195,3.4
Rhode Island,7/1/2021,900,574,63.8,-0.4,541,33,59.4,5.8,34,41.7,-1,0.99,12,2.5,21,4.4
