State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Utah,6/1/2023,2588,1802,69.6,1.4,1759,43,5.3,2.4,105,41.9,-62,0.41,54,3.1,73,4.2
Vermont,6/1/2023,544,347,63.7,-2.1,340,7,-13.5,1.9,18,5.9,-11,0.37,9,2.9,13,4.2
Virginia,6/1/2023,6885,4588,66.6,1.0,4463,125,-4.1,2.7,305,39.3,-180,0.41,134,3.2,174,4.2
Washington,6/1/2023,6284,4068,64.7,-0.6,3914,155,1.7,3.8,180,-8.6,-25,0.86,81,2.2,149,4.1
West Virginia,6/1/2023,1433,783,54.6,-0.3,757,26,-38.9,3.3,56,14.3,-30,0.46,24,3.4,34,4.9
Wisconsin,6/1/2023,4765,3114,65.3,-0.6,3037,77,-17.1,2.5,183,14.4,-106,0.42,73,2.4,124,4.1
Wyoming,6/1/2023,462,299,64.7,-1.0,290,9,-33.0,3.1,19,5.6,-10,0.49,10,3.4,13,4.5
Alabama,5/1/2023,4040,2299,56.9,-0.4,2248,51,-30.7,2.2,145,46.5,-94,0.35,55,2.6,93,4.3
Alaska,5/1/2023,548,358,65.3,0.6,345,13,-32.6,3.6,28,21.7,-15,0.46,11,3.4,18,5.5
Arizona,5/1/2023,5954,3671,61.7,-0.3,3546,125,-25.4,3.4,240,56.9,-115,0.52,103,3.3,148,4.7
Arkansas,5/1/2023,2400,1381,57.5,-0.4,1344,37,-22.7,2.7,101,57.8,-64,0.37,37,2.7,61,4.5
California,5/1/2023,31101,19430,62.5,-0.6,18546,883,2.6,4.5,1043,29.1,-160,0.85,341,1.9,539,3.0
Colorado,5/1/2023,4723,3245,68.7,-0.1,3154,90,-9.1,2.8,259,105.6,-169,0.35,77,2.7,128,4.4
Connecticut,5/1/2023,2957,1898,64.2,-2.3,1827,71,-4.9,3.7,97,44.8,-26,0.73,35,2.1,59,3.5
Delaware,5/1/2023,834,500,59.9,-1.0,479,21,20.6,4.2,37,68.2,-16,0.57,15,3.1,24,5.0
District of Columbia,5/1/2023,554,392,70.8,-0.4,372,20,-12.5,5.1,40,33.3,-20,0.50,14,1.8,24,3.1
Florida,5/1/2023,18502,10998,59.4,0.0,10711,287,-6.9,2.6,669,54.9,-382,0.43,290,3.0,404,4.2
Georgia,5/1/2023,8629,5291,61.3,-1.6,5121,170,-9.7,3.2,385,62.4,-215,0.44,142,2.9,230,4.7
Hawaii,5/1/2023,1123,679,60.4,-0.8,657,21,41.5,3.1,38,26.7,-17,0.56,12,1.9,21,3.3
Idaho,5/1/2023,1539,962,62.5,-1.5,937,25,-0.5,2.6,57,46.2,-32,0.44,27,3.2,41,4.8
Illinois,5/1/2023,10008,6476,64.7,0.4,6210,265,5.9,4.1,423,63.3,-158,0.63,144,2.4,248,4.0
Indiana,5/1/2023,5390,3427,63.6,-0.7,3320,107,-7.3,3.1,193,22.9,-86,0.55,94,2.9,151,4.6
Iowa,5/1/2023,2531,1735,68.5,-0.7,1688,46,2.4,2.7,107,39.0,-61,0.43,45,2.8,60,3.8
Kansas,5/1/2023,2277,1521,66.8,-0.3,1478,44,-11.0,2.9,97,42.6,-53,0.45,36,2.5,59,4.1
Kentucky,5/1/2023,3555,2052,57.7,-0.8,1975,77,-9.5,3.8,145,49.5,-68,0.53,65,3.2,84,4.2
Louisiana,5/1/2023,3550,2116,59.6,1.3,2039,77,-21.9,3.6,148,62.6,-71,0.52,57,2.9,85,4.3
Maine,5/1/2023,1163,678,58.3,-3.6,662,16,-27.8,2.4,44,41.9,-28,0.37,15,2.3,25,3.9
Maryland,5/1/2023,4895,3196,65.3,-4.0,3120,75,-35.7,2.4,206,25.6,-131,0.37,75,2.7,107,3.9
Massachusetts,5/1/2023,5761,3728,64.7,-1.4,3623,106,-1.0,2.8,298,80.6,-192,0.35,71,1.9,135,3.6
Michigan,5/1/2023,8096,4895,60.5,-0.8,4716,179,-4.3,3.7,296,37.7,-117,0.61,89,2.0,153,3.5
Minnesota,5/1/2023,4538,3096,68.2,-1.7,3007,89,-19.0,2.9,206,50.4,-117,0.43,68,2.3,117,3.9
Mississippi,5/1/2023,2284,1247,54.6,-1.3,1207,40,-45.7,3.2,91,75.0,-51,0.44,37,3.1,52,4.4
Missouri,5/1/2023,4907,3111,63.4,-0.6,3032,79,-24.2,2.5,190,54.5,-111,0.42,73,2.5,105,3.5
Montana,5/1/2023,917,575,62.8,-0.9,562,13,-30.3,2.3,41,46.4,-28,0.33,18,3.5,25,4.8
Nebraska,5/1/2023,1528,1062,69.5,-0.6,1042,21,-35.3,1.9,69,38.0,-48,0.30,26,2.5,41,3.9
Nevada,5/1/2023,2569,1580,61.5,-2.8,1495,85,24.3,5.4,113,54.8,-28,0.75,45,2.9,67,4.4
New Hampshire,5/1/2023,1169,764,65.3,-3.1,749,15,-27.6,1.9,47,38.2,-32,0.31,15,2.1,37,5.3
New Jersey,5/1/2023,7438,4851,65.2,0.9,4676,175,-9.2,3.6,232,17.8,-57,0.75,92,2.1,167,3.9
New Mexico,5/1/2023,1684,958,56.9,-1.1,925,34,-33.5,3.5,71,47.9,-37,0.47,22,2.5,34,3.9
New York,5/1/2023,15901,9703,61.0,0.1,9321,382,-6.0,3.9,460,7.5,-78,0.83,140,1.4,281,2.9
North Carolina,5/1/2023,8595,5209,60.6,-0.6,5033,176,-7.8,3.4,379,62.7,-203,0.46,138,2.8,213,4.4
North Dakota,5/1/2023,601,419,69.7,0.6,410,9,-3.8,2.1,29,20.8,-20,0.30,13,3.0,17,3.9
Ohio,5/1/2023,9358,5807,62.1,-1.5,5600,207,-23.5,3.6,393,53.5,-186,0.53,126,2.2,222,4.0
Oklahoma,5/1/2023,3126,1916,61.3,0.7,1863,54,-7.6,2.8,128,56.1,-74,0.42,48,2.8,79,4.6
Oregon,5/1/2023,3471,2157,62.2,1.1,2077,81,7.8,3.7,126,16.7,-45,0.64,52,2.6,72,3.6
Pennsylvania,5/1/2023,10496,6511,62.0,-0.9,6251,259,-15.9,4.0,399,41.5,-140,0.65,121,2.0,198,3.2
Rhode Island,5/1/2023,901,568,63.1,-1.1,552,17,-20.0,3.0,33,37.5,-16,0.51,13,2.6,25,5.0
South Carolina,5/1/2023,4285,2421,56.5,-1.0,2345,76,10.8,3.1,172,57.8,-96,0.44,66,2.9,110,4.8
South Dakota,5/1/2023,709,481,67.8,-1.1,472,9,-23.9,1.9,31,34.8,-22,0.29,13,2.8,19,4.1
Tennessee,5/1/2023,5672,3360,59.2,-2.1,3250,110,-5.4,3.3,252,82.6,-142,0.44,98,3.0,160,4.8
Texas,5/1/2023,23394,15009,64.2,0.3,14393,616,23.3,4.1,819,55.7,-203,0.75,339,2.4,624,4.5
Utah,5/1/2023,2583,1792,69.4,1.2,1750,42,3.7,2.3,113,52.7,-71,0.37,48,2.8,70,4.1
Vermont,5/1/2023,544,346,63.7,-2.2,339,7,-5.1,2.1,21,23.5,-14,0.35,7,2.3,15,4.8
Virginia,5/1/2023,6881,4574,66.5,0.8,4440,134,3.0,2.9,315,43.8,-181,0.43,107,2.6,169,4.1
Washington,5/1/2023,6278,4065,64.8,-0.6,3900,165,8.7,4.1,213,8.1,-48,0.77,87,2.4,129,3.6
West Virginia,5/1/2023,1433,782,54.6,-0.4,757,26,-39.3,3.3,55,12.2,-29,0.46,23,3.3,32,4.6
Wisconsin,5/1/2023,4763,3100,65.1,-0.8,3026,73,-20.7,2.4,205,28.1,-132,0.36,69,2.3,111,3.7
Wyoming,5/1/2023,462,299,64.6,-1.0,289,10,-28.4,3.3,22,22.2,-12,0.45,10,3.5,14,4.8
Alabama,4/1/2023,4038,2293,56.8,-0.5,2242,51,-30.6,2.2,131,32.3,-80,0.39,63,2.9,90,4.2
Alaska,4/1/2023,548,358,65.3,0.6,345,13,-31.9,3.7,26,13.0,-13,0.50,11,3.4,20,6.2
Arizona,4/1/2023,5945,3663,61.6,-0.3,3537,126,-25.2,3.4,206,34.6,-80,0.61,95,3.0,147,4.7
Arkansas,4/1/2023,2398,1378,57.5,-0.4,1339,39,-18.8,2.8,97,51.6,-58,0.40,42,3.1,59,4.4
California,4/1/2023,31102,19405,62.4,-0.6,18537,868,0.9,4.5,895,10.8,-27,0.97,359,2.0,579,3.2
Colorado,4/1/2023,4719,3235,68.6,-0.2,3146,89,-9.7,2.8,214,69.8,-125,0.42,77,2.7,117,4.0
Connecticut,4/1/2023,2956,1901,64.3,-2.1,1829,73,-2.9,3.8,100,49.3,-27,0.73,34,2.0,59,3.5
Delaware,4/1/2023,833,498,59.8,-1.1,476,21,22.3,4.3,36,63.6,-15,0.60,16,3.3,24,5.0
District of Columbia,4/1/2023,553,391,70.6,-0.5,371,19,-14.4,5.0,46,53.3,-27,0.42,16,2.1,27,3.5
Florida,4/1/2023,18467,10960,59.3,-0.1,10679,281,-8.9,2.6,662,53.2,-381,0.42,279,2.9,383,4.0
Georgia,4/1/2023,8618,5276,61.2,-1.7,5110,165,-12.0,3.1,383,61.6,-218,0.43,151,3.1,235,4.8
Hawaii,4/1/2023,1123,679,60.4,-0.8,656,22,49.1,3.3,33,10.0,-11,0.68,14,2.2,23,3.6
Idaho,4/1/2023,1536,961,62.5,-1.5,936,25,-2.5,2.6,55,41.0,-31,0.45,25,3.0,42,5.0
Illinois,4/1/2023,10011,6482,64.8,0.5,6207,275,9.8,4.2,401,54.8,-126,0.69,135,2.2,241,3.9
Indiana,4/1/2023,5387,3423,63.6,-0.8,3319,104,-9.3,3.0,175,11.5,-71,0.60,88,2.7,131,4.0
Iowa,4/1/2023,2530,1728,68.3,-0.9,1682,47,3.5,2.7,94,22.1,-47,0.50,37,2.3,57,3.6
Kansas,4/1/2023,2276,1518,66.7,-0.4,1474,44,-9.8,2.9,84,23.5,-40,0.53,37,2.6,51,3.5
Kentucky,4/1/2023,3553,2046,57.6,-1.0,1970,76,-10.5,3.7,138,42.3,-62,0.55,65,3.2,93,4.6
Louisiana,4/1/2023,3551,2113,59.5,1.2,2037,76,-22.8,3.6,143,57.1,-67,0.53,70,3.6,95,4.9
Maine,4/1/2023,1162,676,58.1,-3.7,659,17,-26.1,2.4,49,58.1,-32,0.34,16,2.5,28,4.3
Maryland,4/1/2023,4895,3185,65.1,-4.2,3106,79,-32.9,2.5,200,22.0,-121,0.39,86,3.1,116,4.2
Massachusetts,4/1/2023,5760,3732,64.8,-1.3,3617,115,7.7,3.1,282,70.9,-167,0.41,63,1.7,130,3.5
Michigan,4/1/2023,8094,4869,60.2,-1.1,4683,186,-0.5,3.8,250,16.3,-64,0.75,94,2.1,164,3.7
Minnesota,4/1/2023,4536,3088,68.1,-1.9,3000,88,-20.4,2.8,180,31.4,-92,0.49,68,2.3,111,3.7
Mississippi,4/1/2023,2284,1246,54.5,-1.4,1204,42,-43.0,3.4,84,61.5,-42,0.50,35,3.0,48,4.1
Missouri,4/1/2023,4904,3100,63.2,-0.8,3022,78,-25.2,2.5,187,52.0,-109,0.42,72,2.4,109,3.7
Montana,4/1/2023,915,573,62.7,-1.0,560,13,-32.4,2.3,37,32.1,-24,0.35,17,3.3,28,5.4
Nebraska,4/1/2023,1527,1061,69.5,-0.6,1040,21,-33.4,2.0,57,14.0,-36,0.37,23,2.2,36,3.4
Nevada,4/1/2023,2565,1576,61.4,-2.9,1490,86,25.1,5.4,100,37.0,-14,0.86,43,2.8,72,4.7
New Hampshire,4/1/2023,1168,766,65.6,-2.9,750,16,-19.3,2.1,49,44.1,-33,0.33,21,3.0,31,4.4
New Jersey,4/1/2023,7437,4833,65.0,0.7,4662,171,-11.3,3.5,240,21.8,-69,0.71,91,2.1,203,4.7
New Mexico,4/1/2023,1684,956,56.8,-1.2,923,34,-33.6,3.5,61,27.1,-27,0.55,22,2.5,38,4.4
New York,4/1/2023,15907,9676,60.8,-0.1,9292,385,-5.4,4.0,430,0.5,-45,0.90,164,1.7,297,3.1
North Carolina,4/1/2023,8583,5192,60.5,-0.8,5013,179,-6.2,3.4,372,59.7,-193,0.48,123,2.5,180,3.7
North Dakota,4/1/2023,601,418,69.6,0.5,409,9,-3.7,2.1,29,20.8,-20,0.30,10,2.3,18,4.1
Ohio,4/1/2023,9356,5778,61.8,-1.8,5567,211,-21.8,3.7,347,35.5,-136,0.61,133,2.4,210,3.8
Oklahoma,4/1/2023,3123,1910,61.1,0.5,1855,54,-6.1,2.9,119,45.1,-65,0.46,48,2.8,79,4.6
Oregon,4/1/2023,3470,2166,62.4,1.4,2079,87,16.1,4.0,120,11.1,-33,0.72,51,2.6,85,4.3
Pennsylvania,4/1/2023,10496,6509,62.0,-0.9,6242,268,-13.3,4.1,420,48.9,-152,0.64,118,1.9,185,3.0
Rhode Island,4/1/2023,901,567,62.9,-1.3,550,17,-19.3,3.0,33,37.5,-16,0.51,13,2.6,23,4.6
South Carolina,4/1/2023,4277,2406,56.3,-1.3,2331,76,10.8,3.1,182,67.0,-106,0.42,73,3.2,99,4.3
South Dakota,4/1/2023,708,479,67.7,-1.2,470,9,-23.4,1.9,29,26.1,-20,0.31,12,2.6,19,4.1
Tennessee,4/1/2023,5665,3348,59.1,-2.2,3237,110,-5.0,3.3,244,76.8,-134,0.45,99,3.0,149,4.5
Texas,4/1/2023,23353,14960,64.1,0.2,14355,606,21.2,4.0,821,56.1,-215,0.74,376,2.7,599,4.3
Utah,4/1/2023,2578,1781,69.1,0.9,1740,41,2.1,2.3,105,41.9,-64,0.39,44,2.6,71,4.1
Vermont,4/1/2023,543,346,63.7,-2.1,338,8,7.3,2.4,20,17.6,-12,0.42,8,2.6,13,4.2
Virginia,4/1/2023,6877,4551,66.2,0.5,4411,140,7.5,3.1,328,49.8,-188,0.43,120,2.9,178,4.3
Washington,4/1/2023,6273,4057,64.7,-0.7,3883,174,14.9,4.3,187,-5.1,-13,0.93,84,2.3,124,3.4
West Virginia,4/1/2023,1433,782,54.6,-0.4,756,26,-38.3,3.3,54,10.2,-28,0.48,24,3.4,36,5.1
Wisconsin,4/1/2023,4761,3085,64.8,-1.1,3012,73,-21.1,2.4,188,17.5,-115,0.39,67,2.2,98,3.3
Wyoming,4/1/2023,462,298,64.5,-1.2,287,11,-23.8,3.5,20,11.1,-9,0.53,9,3.1,15,5.2
Alabama,3/1/2023,4035,2290,56.7,-0.5,2237,53,-28.5,2.3,142,43.4,-89,0.37,72,3.4,99,4.6
Alaska,3/1/2023,548,358,65.3,0.5,344,13,-30.8,3.7,27,17.4,-14,0.49,12,3.7,20,6.1
Arizona,3/1/2023,5936,3659,61.6,-0.3,3530,129,-23.0,3.5,190,24.2,-61,0.68,88,2.8,138,4.4
Arkansas,3/1/2023,2396,1375,57.4,-0.5,1335,41,-15.0,3.0,98,53.1,-57,0.42,45,3.3,64,4.7
California,3/1/2023,31103,19371,62.3,-0.7,18511,860,-0.1,4.4,980,21.3,-120,0.88,384,2.1,592,3.3
Colorado,3/1/2023,4715,3227,68.5,-0.3,3136,91,-8.0,2.8,241,91.3,-150,0.38,79,2.7,125,4.3
Connecticut,3/1/2023,2955,1906,64.5,-2.0,1830,75,0.7,4.0,95,41.8,-20,0.79,33,2.0,55,3.3
Delaware,3/1/2023,832,497,59.7,-1.2,475,22,25.6,4.4,36,63.6,-14,0.61,17,3.5,25,5.2
District of Columbia,3/1/2023,553,391,70.6,-0.5,372,19,-16.8,4.8,39,30.0,-20,0.48,22,2.9,25,3.2
Florida,3/1/2023,18433,10922,59.3,-0.2,10639,283,-8.1,2.6,634,46.8,-351,0.45,284,2.9,372,3.8
Georgia,3/1/2023,8607,5261,61.1,-1.8,5096,165,-12.2,3.1,436,84.0,-271,0.38,194,4.0,239,4.9
Hawaii,3/1/2023,1123,678,60.4,-0.8,655,24,56.4,3.5,35,16.7,-11,0.67,14,2.2,23,3.6
Idaho,3/1/2023,1533,960,62.6,-1.4,935,25,-1.7,2.6,54,38.5,-29,0.46,25,3.0,38,4.5
Illinois,3/1/2023,10013,6477,64.7,0.4,6193,284,13.3,4.4,411,58.7,-127,0.69,126,2.1,252,4.1
Indiana,3/1/2023,5384,3416,63.5,-0.8,3311,105,-8.3,3.1,169,7.6,-64,0.62,95,2.9,146,4.5
Iowa,3/1/2023,2529,1724,68.2,-1.1,1676,48,6.9,2.8,99,28.6,-51,0.49,39,2.5,61,3.8
Kansas,3/1/2023,2275,1514,66.6,-0.5,1470,44,-10.8,2.9,90,32.4,-46,0.49,36,2.5,59,4.1
Kentucky,3/1/2023,3552,2042,57.5,-1.1,1965,77,-9.7,3.8,133,37.1,-56,0.58,68,3.4,103,5.2
Louisiana,3/1/2023,3552,2107,59.3,1.0,2031,76,-22.6,3.6,151,65.9,-75,0.50,77,4.0,104,5.3
Maine,3/1/2023,1161,674,58.0,-3.8,656,18,-21.4,2.6,44,41.9,-26,0.40,16,2.5,25,3.9
Maryland,3/1/2023,4894,3178,64.9,-4.3,3091,86,-26.5,2.7,199,21.3,-113,0.43,87,3.2,113,4.1
Massachusetts,3/1/2023,5759,3742,65.0,-1.1,3609,133,24.6,3.5,259,57.0,-126,0.51,67,1.8,128,3.4
Michigan,3/1/2023,8093,4852,59.9,-1.3,4652,200,6.6,4.1,261,21.4,-61,0.77,84,1.9,161,3.6
Minnesota,3/1/2023,4534,3084,68.0,-1.9,2997,88,-20.5,2.8,192,40.1,-104,0.46,65,2.2,107,3.6
Mississippi,3/1/2023,2283,1243,54.4,-1.5,1199,44,-40.1,3.5,83,59.6,-39,0.53,39,3.3,57,4.8
Missouri,3/1/2023,4902,3086,62.9,-1.0,3008,77,-25.7,2.5,198,61.0,-121,0.39,67,2.3,107,3.6
Montana,3/1/2023,914,572,62.6,-1.0,559,13,-31.4,2.3,39,39.3,-26,0.34,18,3.5,29,5.6
Nebraska,3/1/2023,1526,1060,69.5,-0.7,1038,23,-29.1,2.1,65,30.0,-42,0.35,22,2.1,48,4.6
Nevada,3/1/2023,2562,1573,61.4,-2.9,1486,87,26.5,5.5,105,43.8,-18,0.83,44,2.9,64,4.2
New Hampshire,3/1/2023,1167,768,65.8,-2.7,749,19,-6.8,2.4,47,38.2,-28,0.40,15,2.1,28,4.0
New Jersey,3/1/2023,7435,4815,64.8,0.4,4644,171,-11.3,3.5,268,36.0,-97,0.64,84,1.9,154,3.6
New Mexico,3/1/2023,1683,954,56.7,-1.3,920,34,-33.1,3.5,63,31.3,-29,0.54,23,2.7,37,4.3
New York,3/1/2023,15914,9660,60.7,-0.2,9268,392,-3.7,4.1,429,0.2,-37,0.91,168,1.7,310,3.2
North Carolina,3/1/2023,8570,5180,60.4,-0.8,4996,183,-4.0,3.5,370,58.8,-187,0.49,137,2.8,219,4.5
North Dakota,3/1/2023,601,417,69.3,0.2,408,9,-3.8,2.1,27,12.5,-18,0.32,11,2.5,18,4.2
Ohio,3/1/2023,9354,5756,61.5,-2.0,5537,218,-19.1,3.8,309,20.7,-91,0.71,127,2.3,201,3.6
Oklahoma,3/1/2023,3120,1902,61.0,0.3,1846,57,-2.0,3.0,123,50.0,-66,0.46,60,3.5,81,4.7
Oregon,3/1/2023,3470,2176,62.7,1.7,2080,96,28.0,4.4,126,16.7,-30,0.76,50,2.5,82,4.1
Pennsylvania,3/1/2023,10495,6505,62.0,-0.9,6229,276,-10.5,4.2,421,49.3,-145,0.66,100,1.6,182,3.0
Rhode Island,3/1/2023,901,566,62.9,-1.3,549,17,-17.5,3.1,33,37.5,-16,0.53,12,2.4,21,4.2
South Carolina,3/1/2023,4269,2393,56.1,-1.5,2317,76,12.0,3.2,175,60.6,-99,0.44,75,3.3,111,4.9
South Dakota,3/1/2023,706,477,67.5,-1.3,468,9,-21.6,1.9,29,26.1,-20,0.32,11,2.4,20,4.3
Tennessee,3/1/2023,5657,3338,59.0,-2.3,3224,114,-1.8,3.4,255,84.8,-141,0.45,105,3.2,145,4.4
Texas,3/1/2023,23312,14898,63.9,0.1,14298,600,20.0,4.0,880,67.3,-280,0.68,439,3.2,610,4.4
Utah,3/1/2023,2574,1773,68.9,0.7,1732,42,3.1,2.4,104,40.5,-62,0.40,46,2.7,71,4.1
Vermont,3/1/2023,543,346,63.7,-2.1,337,9,18.6,2.7,21,23.5,-12,0.44,8,2.6,12,3.9
Virginia,3/1/2023,6873,4529,65.9,0.2,4385,143,10.0,3.2,329,50.2,-186,0.44,109,2.6,177,4.3
